id,display_name,works_api_url,h_index,works_count,country_code
A5002932771,Božidar Kliček,https://api.openalex.org/works?filter=author.id:A5002932771,5,58,HR
A5063159746,Bennett Leventhal,https://api.openalex.org/works?filter=author.id:A5063159746,76,456,US
A5049451549,Yonatan Lupu,https://api.openalex.org/works?filter=author.id:A5049451549,26,127,US
A5085178772,Michael Barber,https://api.openalex.org/works?filter=author.id:A5085178772,49,374,US
A5033873033,Ting Zhou,https://api.openalex.org/works?filter=author.id:A5033873033,17,65,CN
A5066883909,Julian Katz-Samuels,https://api.openalex.org/works?filter=author.id:A5066883909,7,37,US
A5104017008,Yu-Hsuan Lu,https://api.openalex.org/works?filter=author.id:A5104017008,7,28,TW
A5071680073,Konstantin V. Knyazkov,https://api.openalex.org/works?filter=author.id:A5071680073,7,18,RU
A5032688376,Brian D. Gonsalves,https://api.openalex.org/works?filter=author.id:A5032688376,17,24,US
A5030813034,Matthieu Nadini,https://api.openalex.org/works?filter=author.id:A5030813034,9,29,GB
A5112749946,Guoyi Huang,https://api.openalex.org/works?filter=author.id:A5112749946,3,4,CN
A5084474554,Katherine Stewart,https://api.openalex.org/works?filter=author.id:A5084474554,30,129,CA
A5100389366,Ziwei Wang,https://api.openalex.org/works?filter=author.id:A5100389366,21,207,CN
A5078326698,Xiaohao Cai,https://api.openalex.org/works?filter=author.id:A5078326698,18,95,GB
A5083289746,Carlos G. Correa,https://api.openalex.org/works?filter=author.id:A5083289746,6,20,US
A5081539459,Talbot M. Andrews,https://api.openalex.org/works?filter=author.id:A5081539459,8,31,US
A5072759538,Samantha Gillette,https://api.openalex.org/works?filter=author.id:A5072759538,5,12,US
A5070527085,Jacob K. Goeree,https://api.openalex.org/works?filter=author.id:A5070527085,48,266,AU
A5041081496,Chao Lu,https://api.openalex.org/works?filter=author.id:A5041081496,8,31,CN
A5028332100,Sahib S. Khalsa,https://api.openalex.org/works?filter=author.id:A5028332100,41,221,US
A5060705578,Stephen Uzzo,https://api.openalex.org/works?filter=author.id:A5060705578,8,42,US
A5049693274,Masahiro Kuwahara,https://api.openalex.org/works?filter=author.id:A5049693274,6,41,JP
A5100366031,Lu Lu,https://api.openalex.org/works?filter=author.id:A5100366031,27,225,CN
A5002933889,Thomas Peron,https://api.openalex.org/works?filter=author.id:A5002933889,18,73,BR
A5065980952,Mike Kowalchuck,https://api.openalex.org/works?filter=author.id:A5065980952,1,2,
A5105769246,Albert Ali Salah,https://api.openalex.org/works?filter=author.id:A5105769246,39,285,NL
A5091054007,Sophie Lecheler,https://api.openalex.org/works?filter=author.id:A5091054007,31,127,AT
A5055571891,Douglas Markant,https://api.openalex.org/works?filter=author.id:A5055571891,13,55,US
A5100698124,John Kim,https://api.openalex.org/works?filter=author.id:A5100698124,52,369,US
A5062564274,Tia Palermo,https://api.openalex.org/works?filter=author.id:A5062564274,30,132,US
A5058914493,Louis-David Lord,https://api.openalex.org/works?filter=author.id:A5058914493,12,23,GB
A5088981989,Christophe Blaison,https://api.openalex.org/works?filter=author.id:A5088981989,11,35,FR
A5070609145,Ryan Calo,https://api.openalex.org/works?filter=author.id:A5070609145,24,99,US
A5042172804,Emorie D Beck,https://api.openalex.org/works?filter=author.id:A5042172804,14,103,US
A5025118144,Raymond M. Lee,https://api.openalex.org/works?filter=author.id:A5025118144,28,98,US
A5079272514,Bahador Saket,https://api.openalex.org/works?filter=author.id:A5079272514,16,48,US
A5088660554,Alberto Sangiovanni‐Vincentelli,https://api.openalex.org/works?filter=author.id:A5088660554,104,1411,US
A5056717187,Mark W. Horner,https://api.openalex.org/works?filter=author.id:A5056717187,42,152,US
A5101399912,Harmanpreet Kaur,https://api.openalex.org/works?filter=author.id:A5101399912,10,61,IN
A5110273791,Yeon Jae Kim,https://api.openalex.org/works?filter=author.id:A5110273791,9,34,KR
A5011785735,Suma Bailis,https://api.openalex.org/works?filter=author.id:A5011785735,1,2,US
A5065455879,Binbin Ji,https://api.openalex.org/works?filter=author.id:A5065455879,11,28,CN
A5056226566,Carina Ines Hausladen,https://api.openalex.org/works?filter=author.id:A5056226566,6,40,CH
A5032429765,Ieva Eskytė,https://api.openalex.org/works?filter=author.id:A5032429765,9,36,GB
A5056574071,Athman Bouguettaya,https://api.openalex.org/works?filter=author.id:A5056574071,45,563,AU
A5100709320,Heeyoung Lee,https://api.openalex.org/works?filter=author.id:A5100709320,9,23,KR
A5016386034,David Heckerman,https://api.openalex.org/works?filter=author.id:A5016386034,99,471,US
A5080680637,Miklós Z. Rácz,https://api.openalex.org/works?filter=author.id:A5080680637,19,107,US
A5021299474,Adrian Klein,https://api.openalex.org/works?filter=author.id:A5021299474,3,5,DE
A5039066271,Kar‐Hai Chu,https://api.openalex.org/works?filter=author.id:A5039066271,23,83,US
