document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2023/2184(INL),Promotion of the freedom of scientific research in the EU,EHLER Christian (EPP),"AGIUS SALIBA Alex (S&D), IJABS Ivars (Renew), PEKSA Mikuláš (Greens/EFA), ILČIĆ Ladislav (ECR), MATIAS Marisa (The Left)",
2023/2110(INI),"Increasing innovation, industrial and technological competitiveness through a favourable environment for start-ups and scale-ups",PENKOVA Tsvetelina (S&D),"MELBĀRDE Dace (EPP), IJABS Ivars (Renew), BOESELAGER Damian (Greens/EFA), LIZZI Elena (ID)",
2023/2062(INI),"Policy implications of the development of virtual worlds – civil, company, commercial and intellectual property law issues","VOSS Axel (EPP), GARCÍA DEL BLANCO Ibán (S&D)",,
2023/2019(INI),Implementation of the 2018 Geoblocking Regulation in the Digital Single Market,MAZUREK Beata (ECR),"CLUNE Deirdre (EPP), ANGEL Marc (S&D), THUN UND HOHENSTEIN Róża (Renew), VAN SPARRENTAK Kim (Greens/EFA), BUCHHEIT Markus (ID), KOULOGLOU Stelios (The Left)",
2022/2078(INI),Strategic Compass and EU space-based defence capabilities,DANJEAN Arnaud (EPP),"YONCHEVA Elena (S&D), GRUDLER Christophe (Renew), ALAMETSÄ Alviina (Greens/EFA), VONDRA Alexandr (ECR), MADISON Jaak (ID), DALY Clare (The Left)",
2022/2063(INI),Implementation report on the European Innovation Council,EHLER Christian (EPP),"GÁLVEZ Lina (S&D), IJABS Ivars (Renew), SOLÉ Jordi (Greens/EFA), KRASNODĘBSKI Zdzisław (ECR), GANCIA Gianna (ID), MATIAS Marisa (The Left)",
2021/2255(INI),The New European Bauhaus,"EHLER Christian (EPP), ROS SEMPERE Marcos (S&D)","ZOVKO Željana (EPP), TOIA Patrizia (S&D), LØKKEGAARD Morten (Renew), MIHAYLOVA Iskra (Renew), CUFFE Ciarán (Greens/EFA), RIBA I GINER Diana (Greens/EFA), MELBĀRDE Dace (ECR), DA RE Gianantonio (ID), LIZZI Elena (ID), ERNST Cornelia (The Left), BARRENA ARZA Pernando (The Left)",
2021/2101(INI),The role of cohesion policy in promoting innovative and smart transformation and regional ICT connectivity,MAESTRE Cristina (S&D),"BENJUMEA BENJUMEA Isabel (EPP), SOLÍS PÉREZ Susana (Renew), D'AMATO Rosa (Greens/EFA), MOŻDŻANOWSKA Andżelika Anna (ECR), PANZA Alessandro (ID), MICHELS Martina (The Left)",
2021/2007(INI),An intellectual property action plan to support the EU’s recovery and resilience,WALSMANN Marion (EPP),"GARCÍA DEL BLANCO Ibán (S&D), SÉJOURNÉ Stéphane (Renew), BREYER Patrick (Greens/EFA), STANCANELLI Raffaele (ECR), LEBRETON Gilles (ID), MAUREL Emmanuel (The Left)",
2020/2217(INI),A European strategy for data,KUMPULA-NATRI Miapetra (S&D),"DANTI Nicola (Renew), TOŠENOVSKÝ Evžen (ECR), MÉLIN Joëlle (ID)",
2020/2015(INI),Intellectual property rights for the development of artificial intelligence technologies,SÉJOURNÉ Stéphane (Renew),"BREYER Patrick (Greens/EFA), DZHAMBAZKI Angel (ECR), REGIMENTI Luisa (ID)",
