node,display_name,country,citations,first_publication,community
A5016381010,Lora Aroyo,US,151,2013,14
A5018975350,Pasquale De Meo,IT,1710,2004,14
A5024552529,Katarzyna Musial-Gabrys,GB,67,2017,14
A5035309719,Domenico Rosaci,IT,1180,2004,14
A5009187597,Yanna Krupnikov,US,1405,2010,17
A5045580371,Elizabeth Simas,US,48,2017,17
A5057862739,Kerri Milita,US,140,2017,17
A5101522880,John Barry Ryan,US,674,2008,17
A5013359305,Stephen M. Schueller,US,5348,2013,30
A5021292146,Scott Allen Cambo,US,59,2020,30
A5046152817,Jennifer Nicholas,AU,1203,2018,30
A5087277171,Renwen Zhang,CN,42,2020,30
A5041252321,Stuart Soroka,US,4854,2004,17
A5067778258,Patrick Kraft,ES,78,2017,17
A5080431457,Rajat Verma,IN,50,2021,18
A5029098298,P. Suresh C. Rao,US,38,2021,18
A5108695718,Satish V. Ukkusuri,US,73,2019,18
A5081795643,Hannah Studd,US,22,2022,30
A5025920509,Robert Laubacher,US,402,2000,20
A5054429343,Gary M. Olson,US,862,1995,20
A5079825006,Thomas W. Malone,US,11007,1983,20
A5001597021,Luca Iandoli,US,325,2004,23
A5016320043,Julia R. DeCook,US,45,2018,20
A5019186947,Shaima Elzeini,US,45,2018,20
A5071992024,Irem Yildirim,SE,45,2018,20
A5023371191,Sharareh Noorbaloochi,US,126,2007,17
A5104357062,Kevin L. Jones,US,40,2017,17
A5018810600,Michael B. Brennan,US,37,2019,30
A5038049072,Ada Ng,US,95,2018,30
A5042259286,Alyson K. Zalta,US,165,2018,30
A5071313046,Wakenda K. Tyler,US,64,2019,19
A5087352487,Anne A. Smartt,US,36,2019,19
A5004550829,Fridolin Linder,US,136,2018,17
A5038183818,Zhanna Terechshenko,US,36,2020,17
A5052649262,Vishakh Padmakumar,IN,100,2020,17
A5100333916,Michael C. Liu,US,36,2020,17
A5007187227,Savvas Zannettou,NL,2287,2017,24
A5011195481,Manoel Horta Ribeiro,CH,861,2017,9
A5035799220,Emiliano De Cristofaro,US,2866,2014,24
A5046881273,Gianluca Stringhini,US,3036,2016,24
A5052381671,Jeremy Blackburn,US,3789,2010,24
A5101446790,Robert West,CH,2099,2012,12
A5004596083,Fırat Duruşan,TR,87,2019,22
A5013522667,Deniz Yüret,TR,1324,2007,22
A5069272720,Burak Gürel,TR,87,2019,22
A5078558272,Çağrı Yoltar,TR,87,2019,22
A5014266613,Hristo Tanev,BE,428,2004,22
A5035084467,Reyyan Yeniterzi,TR,33,2021,22
A5069175616,Vanni Zavarella,IT,106,2011,22
A5048364752,Yoonsang Kim,US,451,2012,30
A5053356728,Catherine L Jo,DE,129,2015,30
A5065957671,Kurt M. Ribisl,US,844,2001,30
A5029769161,Nick Beauchamp,MX,76,2017,17
A5049752109,Marko Klašnja,US,417,2013,17
A5029392463,Spencer Piston,US,169,2010,17
A5038218592,Arda Akdemir,JP,33,2019,22
A5053236714,Ana Çapi,US,28,2020,19
A5073217462,Lynn Ann Forrester,US,28,2020,19
A5081251867,Michelle Lawson,US,28,2020,19
A5029605074,Ishita Gopal,US,38,2021,17
A5072502985,Edgar Castro,US,23,2021,2
A5083670541,Daniel T. O’Brien,US,59,2021,2
A5084047654,Riley Tucker,US,37,2021,2
A5091299318,Alexandra Ciomek,US,37,2021,2
A5101987392,Qi Wang,CN,23,2021,2
A5109998161,Nolan Edward Phillips,US,79,2021,2
A5034595816,Karrie Chou,CA,17,2022,30
A5067094165,Justice Tomlinson,CA,17,2022,30
A5022479813,Anjalie Field,US,429,2018,8
A5100608515,Chan Young Park,US,102,2022,8
A5009928886,Suzanna Linn,US,69,2010,17
A5101567768,Marco A. Morales,CL,38,2010,17
A5012657061,Frank W. Sellke,US,70,2011,25
A5044021778,Shizu Oyamada,US,35,2011,25
A5063617416,Neel R. Sodha,US,35,2011,25
A5069364660,Michael P. Robich,US,70,2011,25
A5091158444,Louis M. Chu,US,35,2011,25
A5045353494,Scott A. Wade,Unknown,32,2015,6
A5054847228,Dan Neilans,Unknown,32,2015,6
A5065387784,Ryan McGrady,US,46,2010,6
A5073325117,Scott Peterson,US,32,2015,6
A5077572973,J Pugh,US,32,2015,6
A5101435916,Peter Zhang,US,32,2015,6
A5067534857,Dhavan V. Shah,NP,3568,2000,1
A5069235702,Catalina L. Toma,US,1807,2007,1
A5075777334,David H. Gustafson,US,2544,1993,1
A5103746136,Tae Joon Moon,US,196,2011,1
A5062605770,Mina Choi,KR,308,2014,1
A5066958631,Leila Takayama,US,1756,2004,6
A5076918406,Akihito Sudo,JP,44,2016,18
A5031498810,Maya Holikatti,US,26,2019,6
A5088363723,Neha Kumar,US,1945,2011,6
A5076310142,Ali Safaya,TR,302,2020,22
A5015858846,Frank Russo,CA,374,2009,19
A5024571210,Carmen Branje,CA,219,2005,19
A5063166908,Deborah I. Fels,CA,443,2005,19
A5086716569,Anant Baijal,KR,31,2012,19
A5022049038,Megan MacDuffee Metzger,US,89,2015,17
A5037107679,Sean Goggins,US,198,2013,6
A5048101000,Bryan Semaan,US,380,2016,6
A5019148563,Bret Shaw,US,762,2005,1
A5070430471,Yan Liu,CN,26,2017,1
A5081820571,Fiona McTavish,US,1800,1993,1
A5053962679,Gábor Simonovits,AT,1689,2014,17
A5088617975,Larry Chan,US,302,2017,6
A5082946336,Stiene Praet,BE,17,2021,17
A5023229681,Andreu Casas,GB,174,2019,17
A5044652655,Magdalena Wojcieszak,US,485,2011,17
A5066850067,Xudong Yu,US,17,2021,17
A5060607844,Fatima Arroyo Arroyo,US,27,2019,18
A5087401191,Shagun Mittal,US,12,2022,18
A5026985652,Angela Lai,US,12,2022,17
A5072261480,Megan Brown,US,135,2020,17
A5091324572,James Bisbee,US,173,2017,17
A5053823442,Aline Villavicencio,GB,15,2021,22
A5090741889,Jakub Piskorski,PL,252,2007,22
A5070622921,Pranil Vora,Unknown,20,2017,6
A5097813877,Sean Goggins,US,18,2019,20
A5028774923,Gizem Abali,TR,16,2018,22
A5051304181,Enis Karaarslan,TR,16,2018,22
A5084148786,Feriştah Dalkılıç,TR,16,2018,22
A5020723477,Ingrid Erickson,US,174,2013,6
A5066945625,Elizabeth C. Connors,US,46,2019,17
A5091432624,Mustafa Mikdat Yildirim,US,13,2021,17
A5091423486,Richard Alterman,US,24,2006,20
A5010971302,Leni Krsova,US,13,2020,20
A5023050245,Ania Korsunska,US,13,2020,20
A5101588342,Zefeng Zhang,US,31,2020,20
A5030655956,Christopher M. Jones,US,47,2009,30
A5047522207,Vincent Aleven,US,4083,2000,30
A5085877358,Amy Ogan,CH,556,2003,30
A5005801334,Akanda Wahid Ul Ashraf,GB,13,2017,26
A5085428364,Marcin Budka,GB,537,2011,26
A5050115090,Hristo Tanev,Unknown,12,2020,22
A5037129157,Toru Shimizu,US,11,2020,18
A5043070901,Jillian York,US,14,2010,6
A5049679668,Ethan Zuckerman,US,205,2009,6
A5068074599,John Palfrey,US,248,2009,6
A5085572235,Hal Roberts,US,14,2010,6
A5008212744,Fernando Caravaggio,CA,40,2017,19
A5016285763,M. Mallar Chakravarty,CA,51,2012,19
A5017059941,Philip Gerretsen,CA,12,2017,19
A5022096029,Gary Remington,CA,12,2017,19
A5031423812,Eric Plitman,CA,12,2017,19
A5044840695,Ariel Graff‐Guerrero,CA,40,2017,19
A5101418217,Yusuke Iwata,CA,12,2017,19
A5112776895,Jun Ku Chung,CA,12,2017,19
A5000507495,David Trace,US,14,1997,19
A5039008492,Martha Evens,US,14,1997,19
A5002709735,Fred Morstatter,US,4711,2013,27
A5049634383,Kristina Lerman,US,10099,1990,14
A5056269049,Ninareh Mehrabi,US,3054,2019,27
A5091625866,Nripsuta Ani Saxena,US,3188,2018,27
A5101715504,Aram Galstyan,AM,5864,2002,27
A5014442059,Maxime Lucas,IT,1307,2020,10
A5027706684,Vito Latora,AT,4652,2008,10
A5052553537,Iacopo Iacopini,US,1445,2019,10
A5058033787,Giulia Cencetti,IT,1418,2015,10
A5063367289,Giovanni Petri,MX,2510,2014,10
A5068687626,Alice Patania,US,1413,2017,10
A5070850590,Jean-Gabriel Young,US,1372,2020,28
A5088448789,Federico Battiston,AT,2422,2016,10
A5024377883,Emily Chen,US,1319,2020,14
A5078699564,Emilio Ferrara,US,9478,2010,14
A5021501103,Antonio A. Arechar,MX,1438,2017,5
A5052536455,Mohsen Mosleh,US,1660,2013,5
A5076651767,Ziv Epstein,US,1553,2014,5
A5080265907,Dean Eckles,US,2569,2007,5
A5026380797,Xiaoran Yan,CN,812,2014,14
A5055019793,Xin-Zeng Wu,US,670,2016,14
A5109213033,Rumi Ghosh,US,1374,2009,14
A5002055143,Marcelo Ferreira da Costa Gomes,BR,357,2014,14
A5009012039,M. Elizabeth Halloran,US,1939,1995,14
A5016589479,Luca Rossi,IT,346,2014,14
A5020306286,Ana Pastore y Piontti,US,357,2014,14
A5046546654,Alessandro Vespignani,US,13777,1995,14
A5048216017,Dennis L. Chao,US,1012,2010,14
A5069878224,Ira M. Longini,US,2105,1986,14
A5075372235,Tad Hogg,US,2806,1987,12
A5014662127,Alain Barrat,FR,7309,2001,14
A5040515977,Adam Badawy,US,618,2018,14
A5025218700,Amit Goldenberg,US,1091,2014,29
A5051095866,James J. Gross,US,14232,1995,29
A5021261847,Justin Cheng,US,2741,2011,12
A5033172946,Adrien Friggeri,IL,406,2012,6
A5047847314,Lada A. Adamic,US,12334,1999,6
A5016656924,Francesco Vaccarino,IT,365,2016,10
A5023810719,Sabina Čehajić‐Clancy,SE,169,2016,29
A5042631896,Eran Halperin,IL,1898,2011,29
A5013074509,Yan Shen,US,181,2019,14
A5053492559,Julie Jiang,US,245,2020,14
A5048877432,Bruno Lepri,IT,4570,2006,3
A5003261311,Andrea Santoro,CH,72,2019,10
A5046534116,Enrico Amico,CH,96,2018,10
A5005129420,Avinash Collis,US,544,2019,20
A5017393131,Sinan Aral,US,11337,2005,20
A5063557800,Kiran Garimella,US,478,2013,9
A5084502036,Alex Moehring,US,153,2021,20
A5101965763,M. Amin Rahimian,US,449,2010,20
A5063784062,Bhaskar Krishnamachari,US,1273,2002,27
A5112520804,Sundeep Pattem,US,732,2003,27
A5062462809,B. J. Fogg,US,1860,1995,6
A5027110040,Martijn van Zomeren,NL,851,2012,29
A5006700143,Eytan Bakshy,US,7126,2010,5
A5017533451,Itamar Rosenn,IL,2157,2009,5
A5033563552,Rong Yan,CN,155,2012,5
A5008639824,Angkoon Phinyomark,CA,379,2014,10
A5012319049,Esther Ibáñez‐Marcelo,IT,230,2017,10
A5042628196,Sean T. Osis,CA,318,2014,10
A5045864780,Reed Ferber,CA,318,2014,10
A5023448303,Nathan O. Hodas,US,323,2012,14
A5080066602,Jason Jones,US,3358,1991,5
A5082330712,James H. Fowler,US,14080,2005,5
A5085452154,Robert M. Bond,US,3001,2012,5
A5071778778,René F. Kizilcec,US,1716,2013,6
A5034406723,Luca Maria Aiello,IT,2295,2008,24
A5073187608,Mihajlo Grbovic,US,1123,2014,14
A5077270335,Farshad Kooti,US,561,2012,14
A5082498217,Nemanja Djuric,RS,1083,2014,14
A5085497926,Vladan Radosavljević,US,1083,2014,14
A5034426215,Aseel Addawood,SA,236,2017,14
A5082698243,Cameron Martel,US,652,2019,5
A5022414084,Tiago P. Peixoto,AT,139,2017,10
A5007056150,Shirley Anugrah Hayati,US,106,2020,8
