document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2023/0456(NLE),EC/Pacific States Interim Partnership Agreement: accession of Tuvalu,JOŃSKI Dariusz (EPP),"ASSIS Francisco (S&D), FRAGKOS Emmanouil (ECR), COWEN Barry (Renew), KENNES Rudi (The Left), AUST René (ESN)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1769596
2023/0353(NLE),Agreement under the United Nations Convention on the Law of the Sea: conservation and sustainable use of marine biological diversity of areas beyond national jurisdiction,MODIG Silvia (The Left),,
2023/0147(NLE),EC/Kiribati Fisheries Partnership Agreement (2023-2028). Implementation Protocol,PIMENTA LOPES João (The Left),"SCHREIJER-PIERIK Annie (EPP), AGUILERA Clara (S&D), BILBAO BARANDICA Izaskun (Renew), KELLER Ska (Greens/EFA), RAFALSKA Elżbieta (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1744565
2023/0117(NLE),EU/Madagascar Sustainable Fisheries Partnership Agreement and Implementing Protocol (2023-2027),AGUILERA Clara (S&D),"ROOSE Caroline (Greens/EFA), STANCANELLI Raffaele (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1742482
2022/0362(NLE),EU/Seychelles Agreement: access for Seychelles fishing vessels to the waters of Mayotte,MATO Gabriel (EPP),"AGUILERA Clara (S&D), BILBAO BARANDICA Izaskun (Renew), GUERREIRO Francisco (Greens/EFA), ILČIĆ Ladislav (ECR), PIMENTA LOPES João (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1723417
2022/0249(NLE),EU/Mauritius Fisheries Partnership Agreement: implementing the Agreement (2022-2026). Protocol,BELLAMY François-Xavier (EPP),"BARTOLO Pietro (S&D), BILBAO BARANDICA Izaskun (Renew), STANCANELLI Raffaele (ECR), HAZEKAMP Anja (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1716472
2022/0177(NLE),Authorising Poland to ratify the amendment to the Convention on the Conservation and Management of Pollock Resources in the Central Bering Sea,RAFALSKA Elżbieta (ECR),"MONTEIRO DE AGUIAR Cláudia (EPP), CARVALHAIS Isabel (S&D), ROOSE Caroline (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1706653
2022/0014(NLE),EU/Mauritius Fisheries Partnership Agreement: fishing opportunities and financial contribution 2017-2021. Extension of the Protocol,BILBAO BARANDICA Izaskun (Renew),"SCHREIJER-PIERIK Annie (EPP), PIZARRO Manuel (S&D), D'AMATO Rosa (Greens/EFA), STANCANELLI Raffaele (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1690422
2021/0300M(NLE),EU/Mauritania Sustainable Fisheries Partnership Agreement and Implementing Protocol,BILBAO BARANDICA Izaskun (Renew),"SCHREIJER-PIERIK Annie (EPP), AGUILERA Clara (S&D), ROOSE Caroline (Greens/EFA), RUISSEN Bert-Jan (ECR), PIMENTA LOPES João (The Left)",
2021/0312(NLE),EU/Cook Islands Sustainable Fisheries Partnership Agreement: implementation of the Agreement 2021-2024. Protocol,MONTEIRO DE AGUIAR Cláudia (EPP),"HRISTOV Ivo (S&D), BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1677356
2021/0300(NLE),EU/Mauritania Sustainable Fisheries Partnership Agreement and Implementing Protocol,BILBAO BARANDICA Izaskun (Renew),"SCHREIJER-PIERIK Annie (EPP), AGUILERA Clara (S&D), ROOSE Caroline (Greens/EFA), RUISSEN Bert-Jan (ECR), PIMENTA LOPES João (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1676214
2021/0184(NLE),Convention on the Conservation and Management of High Seas Fisheries Resources in the North Pacific Ocean: accession of the European Union,RUISSEN Bert-Jan (ECR),"MATO Gabriel (EPP), CARVALHAIS Isabel (S&D), GADE Søren (Renew), ROOSE Caroline (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1669231
2021/0127(NLE),EC/Gabon Fisheries Partnership Agreement: Implementation Protocol,BILBAO BARANDICA Izaskun (Renew),"SCHREIJER-PIERIK Annie (EPP), GONZÁLEZ CASARES Nicolás (S&D), ROOSE Caroline (Greens/EFA), ILČIĆ Ladislav (ECR), PIMENTA LOPES João (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1662581
2021/0037M(NLE),EU/Greenland/Denmark Sustainable Fisheries Partnership Agreement and Implementation Protocol,KARLESKIND Pierre (Renew),"HERBST Niclas (EPP), AGUILERA Clara (S&D), ROOSE Caroline (Greens/EFA), ILČIĆ Ladislav (ECR)",
2021/0037(NLE),EU/Greenland/Denmark Sustainable Fisheries Partnership Agreement and Implementation Protocol,KARLESKIND Pierre (Renew),"HERBST Niclas (EPP), AGUILERA Clara (S&D), ROOSE Caroline (Greens/EFA), ILČIĆ Ladislav (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1651032
2020/0274(NLE),EC/Mauritania Fisheries Partnership Agreement: extension of the Protocol,SCHREIJER-PIERIK Annie (EPP),"BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1633213
2020/0002M(NLE),EU/Seychelles Sustainable Fisheries Partnership Agreement and Implementing Protocol (2020-2026),ROOSE Caroline (Greens/EFA),"CARVALHAIS Isabel (S&D), BILBAO BARANDICA Izaskun (Renew), TOMAŠIĆ Ruža (ECR)",
2019/0226M(NLE),EU/Senegal Fisheries Partnership Agreement: implementation of the Agreement. Protocol,BILBAO BARANDICA Izaskun (Renew),"BELLAMY François-Xavier (EPP), MATIĆ Predrag Fred (S&D), BITEAU Benoît (Greens/EFA), RUISSEN Bert-Jan (ECR), FERREIRA João (GUE/NGL)",
2020/0002(NLE),EU/Seychelles Sustainable Fisheries Partnership Agreement and Implementation Protocol (2020-2026),ROOSE Caroline (Greens/EFA),"CARVALHAIS Isabel (S&D), BILBAO BARANDICA Izaskun (Renew), TOMAŠIĆ Ruža (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1604367
2019/0226(NLE),EU/Senegal Fisheries Partnership Agreement: implementation of the Agreement. Protocol,BILBAO BARANDICA Izaskun (Renew),"BELLAMY François-Xavier (EPP), MATIĆ Predrag Fred (S&D), BITEAU Benoît (Greens/EFA), RUISSEN Bert-Jan (ECR), FERREIRA João (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1595386
2019/0090M(NLE),EC/Guinea-Bissau Fisheries Partnership Agreement: implementation of the Agreement 2019-2024. Protocol,FERREIRA João (GUE/NGL),"VAN DALEN Peter (EPP), GONZÁLEZ CASARES Nicolás (S&D), BILBAO BARANDICA Izaskun (Renew), GUERREIRO Francisco (Greens/EFA), TOMAŠIĆ Ruža (ECR)",
2019/0078M(NLE),EC/Cape Verde Fisheries Partnership Agreement: implementation of the Agreement 2019-2024. Protocol,MONTEIRO DE AGUIAR Cláudia (EPP),"PIZARRO Manuel (S&D), BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA), TOMAŠIĆ Ruža (ECR), FERREIRA João (GUE/NGL)",
2019/0225(NLE),Amending the International Convention for the Conservation of Atlantic Tunas (ICCAT). Protocol,CONTE Rosanna (ID),"MONTEIRO DE AGUIAR Cláudia (EPP), CARVALHAIS Isabel (S&D), KARLESKIND Pierre (Renew), ROOSE Caroline (Greens/EFA), STANCANELLI Raffaele (ECR), HAZEKAMP Anja (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1594842
2019/0210(NLE),EC/Mauritania Fisheries Partnership Agreement: fishing opportunities and financial contribution. Extension of the Protocol,AGUILERA Clara (S&D),"SCHREIJER-PIERIK Annie (EPP), BILBAO BARANDICA Izaskun (Renew), GUERREIRO Francisco (Greens/EFA), RUISSEN Bert-Jan (ECR), FERREIRA João (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1593628
2019/0173(NLE),EU/São Tomé and Príncipe Fisheries Partnership Agreement 2019-2024. Protocol,MELO Nuno (EPP),"FERRANDINO Giuseppe (S&D), BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA), TOMAŠIĆ Ruža (ECR), FERREIRA João (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1590964
2019/0099(NLE),EC/Pacific States Interim Partnership Agreement: accession of Solomon Islands,LANGE Bernd (S&D),"MCALLISTER David (EPP), ČÍŽ Miroslav (S&D), LØKKEGAARD Morten (Renew), FRAGKOS Emmanouil (ECR), FLANAGAN Luke Ming (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1582740
2019/0090(NLE),EC/Guinea-Bissau Fisheries Partnership Agreement (2019-2024). Protocol,FERREIRA João (GUE/NGL),"VAN DALEN Peter (EPP), GONZÁLEZ CASARES Nicolás (S&D), BILBAO BARANDICA Izaskun (Renew), GUERREIRO Francisco (Greens/EFA), TOMAŠIĆ Ruža (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1581472
2019/0078(NLE),EC/Cape Verde Fisheries Partnership Agreement (2019-2024). Implementation Protocol,MONTEIRO DE AGUIAR Cláudia (EPP),"PIZARRO Manuel (S&D), BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA), TOMAŠIĆ Ruža (ECR), FERREIRA João (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1579569
2019/0076(NLE),EU/Gambia Sustainable Fisheries Partnership Agreement and Implementation Protocol,AVRAM Carmen (S&D),"SCHREIJER-PIERIK Annie (EPP), BILBAO BARANDICA Izaskun (Renew), ROOSE Caroline (Greens/EFA), MOBARIK Baroness Nosheena (ECR), HAZEKAMP Anja (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1579580
