document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2021/2077(INI),Implementation of the Energy Performance of Buildings Directive,KELLY Seán (EPP),"FUGLSANG Niels (S&D), DANTI Nicola (Renew), EVI Eleonora (Greens/EFA), SZYDŁO Beata (ECR), BORCHIA Paolo (ID), MATIAS Marisa (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1682355
2021/2017(INI),Europe’s Media in the Digital Decade: An Action Plan to Support Recovery and Transformation,MELBĀRDE Dace (ECR),"ZOVKO Željana (EPP), SMERIGLIO Massimiliano (S&D), FARRENG Laurence (Renew), NIENASS Niklas (Greens/EFA), DA RE Gianantonio (ID), MICHELS Martina (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1677337
2021/2011(INI),A European strategy for critical raw materials,BENTELE Hildegard (EPP),"CHAHIM Mohammed (S&D), PEKKARINEN Mauri (Renew), HAHN Henrike (Greens/EFA), KLOC Izabela-Helena (ECR), TOVAGLIERI Isabella (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1677973
2020/2266(INI),Report on Artificial Intelligence in a Digital Age,VOSS Axel (EPP),"BENIFEI Brando (S&D), ANSIP Andrus (Renew), BOESELAGER Damian (Greens/EFA), BOURGEOIS Geert (ECR), BARDELLA Jordan (ID), BARRENA ARZA Pernando (The Left)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1699888
2020/2077(INI),New Circular Economy Action Plan,HUITEMA Jan (Renew),"BONAFÈ Simona (S&D), AUKEN Margrete (Greens/EFA), KOPCIŃSKA Joanna (ECR), LIMMER Sylvia (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1651049
2020/2076(INI),A New Industrial Strategy for Europe,CALENDA Carlo (S&D),"TOBISZOWSKI Grzegorz (ECR), BORCHIA Paolo (ID), BOTENGA Marc (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1636556
2020/2022(INI),Digital Services Act and fundamental rights issues posed,PEETERS Kris (EPP),BREYER Patrick (Greens/EFA),https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1633565
2020/2016(INI),Artificial intelligence in criminal law and its use by the police and judicial authorities in criminal matters,VITANOV Petar (S&D),"VANDENKENDELAERE Tom (EPP), TUDORACHE Dragoş (Renew), BREYER Patrick (Greens/EFA), VANDENDRIESSCHE Tom (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1669867
2020/2015(INI),Intellectual property rights for the development of artificial intelligence technologies,SÉJOURNÉ Stéphane (Renew),"BREYER Patrick (Greens/EFA), DZHAMBAZKI Angel (ECR), REGIMENTI Luisa (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1633800
2020/2013(INI),Artificial intelligence: questions of interpretation and application of international law in so far as the EU is affected in the areas of civil and military uses and of state authority outside the scope of criminal justice,LEBRETON Gilles (ID),"MELCHIOR Karen (Renew), DZHAMBAZKI Angel (ECR)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1645436
2019/2204(INI),"Implementation of Directive 2009/81/EC, concerning procurement in the fields of defence and security, and of Directive 2009/43/EC, concerning the transfer of defence-related products",SCHWAB Andreas (EPP),"MIKSER Sven (S&D), SCHREINEMACHER Liesje (Renew), CORMAND David (Greens/EFA), FIDANZA Carlo (ECR), JORON Virginie (ID), KONEČNÁ Kateřina (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1653546
2019/2606(RSP),Objection pursuant to Rule 106: Authorisation for certain uses of bis(2-ethylhexyl) phthalate (DEHP) under Regulation (EC) No 1907/2006 of the European Parliament and of the Council (Grupa Azoty Zakłady Azotowe Kędzierzyn S.A.),"POC Pavel (S&D), KONEČNÁ Kateřina (GUE/NGL)",,
2019/2605(RSP),Objection pursuant to Rule 106: Authorisation for certain uses of bis(2-ethylhexyl) phthalate (DEHP) under Regulation (EC) No 1907/2006 of the European Parliament and of the Council (DEZA a.s.),"POC Pavel (S&D), KONEČNÁ Kateřina (GUE/NGL)",,
2024/2691(DEA),Definition of ‘engineered nanomaterials’,"PIETIKÄINEN Sirpa (EPP), SCHALDEMOSE Christel (S&D), RIES Frédérique (Renew), PAULUS Jutta (Greens/EFA), HAZEKAMP Anja (The Left)",,https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1784543
2019/2843(DEA),"Classification, labelling and packing of substances and mixtures",ZALEWSKA Anna (ECR),,
2020/2898(RPS),"Decision to raise no objections to the draft Commission regulation amending Annex XIV to Regulation (EC) No 1907/2006 as regards the substance group 4-(1,1,3,3-Tetramethylbutyl)phenol, ethoxylated (covering well-defined substances and substances of unknown or variable composition, complex reaction products or biological materials, polymers and homologues)",CANFIN Pascal (Renew),,
