document_id,title,rapporteurs,shadow_rapporteurs,summary_link
2020/0265(COD),Digital finance: Markets in Crypto-assets (MiCA),BERGER Stefan (EPP),"HEINÄLUOMA Eero (S&D), KOVAŘÍK Ondřej (Renew), URTASUN Ernest (Greens/EFA), MOŻDŻANOWSKA Andżelika Anna (ECR), RINALDI Antonio Maria (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1632639
2018/0331(COD),Preventing the dissemination of terrorist content online,JAKI Patryk (ECR),"ZARZALEJOS Javier (EPP), KALJURAND Marina (S&D), PAGAZAURTUNDÚA Maite (Renew), BREYER Patrick (Greens/EFA), GARRAUD Jean-Paul (ID), ERNST Cornelia (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1551528
2018/0328(COD),European Cybersecurity Competence Centre,ANDRESEN Rasmus (Greens/EFA),"DEL CASTILLO VERA Pilar (EPP), GEIER Jens (S&D), GAMON Claudia (Renew), TOŠENOVSKÝ Evžen (ECR), BOTENGA Marc (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1551523
2018/0254(COD),European Defence Fund 2021–2027,KRASNODĘBSKI Zdzisław (ECR),"BELLAMY François-Xavier (EPP), TOIA Patrizia (S&D), RIQUET Dominique (Renew), BLOSS Michael (Greens/EFA), TOVAGLIERI Isabella (ID), BOTENGA Marc (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1539192
2018/0236(COD),Space programme 2021–2027 and European Union Agency for the Space Programme,SALINI Massimiliano (PPE),"ZORRINHO Carlos (S&D), GRUDLER Christophe (Renew), BOESELAGER Damian (Greens/EFA), TOŠENOVSKÝ Evžen (ECR), TOVAGLIERI Isabella (ID), BOMPARD Manuel (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538437
2018/0228(COD),Connecting Europe facility 2021–2027,"MARINESCU Marian-Jean (EPP), VIRKKUNEN Henna (EPP), RIQUET Dominique (Renew)","GARCÍA MUÑOZ Isabel (S&D), KUMPULA-NATRI Miapetra (S&D), PETERSEN Morten (Renew), TOUSSAINT Marie (Greens/EFA), CUFFE Ciarán (Greens/EFA), ZĪLE Roberts (ECR), KLOC Izabela-Helena (ECR), BORCHIA Paolo (ID), PEREIRA Sandra (GUE/NGL), KOUNTOURA Elena (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538312
2018/0227(COD),Digital Europe programme 2021–2027,FLEGO Valter (Renew),"DEL CASTILLO VERA Pilar (EPP), ZORRINHO Carlos (S&D), BOESELAGER Damian (Greens/EFA), ROOS Robert (ECR), KOUNTOURA Elena (GUE/NGL)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1538412
2018/0190(COD),Creative Europe programme 2021–2027,SMERIGLIO Massimiliano (S&D),"FRANKOWSKI Tomasz (EPP), SEMEDO Monica (Renew), NIENASS Niklas (Greens/EFA), KRUK Elżbieta (ECR), ANDERSON Christine (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1536230
2018/0108(COD),Electronic evidence regulation: European production and preservation orders for electronic evidence in criminal matters,SIPPEL Birgit (S&D),"MELO Nuno (EPP), KÖRNER Moritz (Renew), LAGODINSKY Sergey (Greens/EFA), JAKI Patryk (ECR), TARDINO Annalisa (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1530866
2018/0107(COD),Electronic evidence in criminal proceedings: legal representatives directive,SIPPEL Birgit (S&D),"MELO Nuno (EPP), KÖRNER Moritz (Renew), LAGODINSKY Sergey (Greens/EFA), JAKI Patryk (ECR), TARDINO Annalisa (ID)",https://oeil.secure.europarl.europa.eu/oeil/en/document-summary?id=1530863
